player,gp,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,eff
Jonas Valanciunas,30,18.8,12.8,5,8.6,57.5,0.3,1,30,2.6,3.1,81.9,1.8,5.4,7.2,1,0.4,0.8,1.3,16.6
Marvin Bagley III,26,23.1,12.7,4.8,9,53.6,0.3,1,34.6,2.7,4,68.3,2.4,3.7,6.1,0.9,0.4,1,1.7,14.1
Justin Holiday,30,35.2,12.5,4.3,10.7,40.3,2.9,7.5,38.1,1,1.1,88.2,0.5,4,4.5,2.4,1.8,0.5,1.2,14
Robert Covington,27,33.9,12.4,4.2,9.9,42.5,2.3,6.1,37.6,1.8,2.3,78.7,0.6,4.9,5.5,1,2.1,1.4,1.4,14.9
Al Horford,22,30,12.4,5.1,10.4,49.1,1.3,3.7,34.1,1,1.4,70,1.5,4.8,6.4,3.4,0.8,1.7,1.5,17.5
Myles Turner,28,27.5,12.3,5,10.3,48.8,0.6,1.7,35.4,1.6,2.3,70.8,1.3,5.3,6.6,1.6,0.4,2.8,1.7,16.1
Brook Lopez,28,28,12.2,4.3,10,43.1,2.6,7,36.7,1,1.2,79.4,0.5,3.7,4.2,1.1,0.5,1.8,1,12.8
Jarrett Allen,28,27.8,12.2,4.6,7.8,58.9,0.1,0.8,14.3,2.9,3.9,73.4,2.8,5.5,8.3,1.6,0.5,1.4,1.4,18.4
Trey Burke,21,20.7,12,4.5,10.7,42.2,1,2.9,36.1,2,2.4,80.4,0.6,1.5,2.1,3,0.6,0.1,1.1,10.1
Joe Ingles,30,31.4,12,4.4,9.9,44.1,2.1,5.6,38.1,1.1,1.6,67.3,0.3,3.6,3.9,4.6,1.7,0.2,2.2,14
Tristan Thompson,27,30.3,12,5.2,9.5,55.1,0,0,0,1.5,2.5,61.2,5,6.6,11.6,2.1,0.8,0.4,1.5,20.2
Jae Crowder,30,27.5,11.9,4,9.8,40.6,2,6,32.6,2,2.7,74.4,0.7,3.9,4.6,1.7,0.7,0.5,0.9,12
JaVale McGee,29,23.5,11.8,5.2,8.4,62.6,0,0.1,25,1.3,2,66.7,2.5,4.1,6.7,0.8,0.8,2.6,1.6,17.2
Jerami Grant,28,30.3,11.8,4.4,8.6,50.8,1.2,3.2,37.1,1.9,2.8,67.1,0.9,3.8,4.7,1.1,0.8,1.3,1,13.5
Bryn Forbes,30,26.9,11.8,4.4,9.9,44.8,2,4.9,41.5,0.9,1,83.9,0.2,2.1,2.3,2.2,0.6,0,1.2,10.1
Otto Porter Jr.,25,29.5,11.7,4.6,9.5,48.7,1.4,3.8,36.8,1,1.3,78.1,1,4.7,5.6,2,1.5,0.6,0.9,15.4
Markieff Morris,28,26.5,11.7,4.3,9.7,44.6,1.5,4.3,34.7,1.5,1.9,79.6,1.1,4.1,5.3,1.8,0.8,0.6,1.4,13
Jaylen Brown,24,27.3,11.7,4.4,10.8,40.9,1.1,3.9,28,1.8,2.6,67.7,1.2,3,4.2,1.5,0.7,0.6,1.5,9.9
Thaddeus Young,29,29.4,11.6,5,9.9,50.7,0.3,1.4,25,1.3,2,62.7,2.1,3.8,5.9,1.6,1.5,0.4,1.2,14.2
Jeff Teague,23,31.5,11.6,3.7,9.7,38.4,0.8,2.7,31.1,3.3,3.8,86.4,0.3,2,2.3,8.3,1,0.5,2.3,14.9
Rodney McGruder,28,31.3,11.5,4.3,9.8,44.2,1.7,4.3,39.2,1.1,1.5,76.2,1,3.5,4.5,2.6,0.9,0.1,1.4,12.4
J.J. Barea,25,19.4,11.4,4.5,10.2,44.1,1,3.1,30.8,1.4,2,70.6,0.3,2.1,2.4,5.4,0.6,0,1.7,11.9
Nemanja Bjelica,28,24.3,11.4,4.4,8,54.5,1.6,3.4,47.9,1,1.3,78.4,1.4,4.3,5.7,2,0.9,0.6,1.5,15.3
Allonzo Trier,27,23.3,11.3,3.8,8.1,47,0.7,1.7,39.1,3,3.6,81.6,0.6,2.5,3.1,1.9,0.4,0.4,1.9,10.1
Derrick Favors,29,23.1,11.2,4.5,7.4,60.6,0.3,0.9,29.6,1.9,3,64,2.9,4.2,7.1,0.9,0.8,1.3,1.2,16.1
DeAndre Jordan,27,31.4,11.1,4.1,6.6,62.1,0,0,0,3,4,74.8,2.8,10.8,13.6,2.1,0.7,1,2.5,22.4
Damyean Dotson,23,26.4,11.1,4.4,9.6,46.4,1.5,4.1,37.2,0.7,1,69.6,0.8,3.3,4.1,1,0.9,0.2,0.8,11.1
Dario Saric,28,27.1,11.1,3.9,9.3,42.3,1.5,4.6,32.8,1.7,1.9,90.6,1.6,4.6,6.3,1.7,0.5,0.2,1.4,12.8
Gordon Hayward,25,26.4,10.9,3.8,9.2,41.6,1.3,3.8,34,2,2.2,89.1,1,4.2,5.2,3.6,1.1,0.2,1.4,14
Cedi Osman,27,31.8,10.9,3.8,10.6,35.9,1.4,4.8,30.2,1.8,2.2,81.4,0.6,4.5,5,2.5,0.7,0.3,1.7,10.4
Jeremy Lin,24,18.4,10.8,3.6,7.1,50.6,1.2,2.8,41.8,2.5,3,83.3,0.3,2.1,2.3,3.2,0.9,0.1,2,11.3
Justise Winslow,24,28.7,10.8,4,10.1,39.3,1.3,3.4,37.8,1.6,2.4,67.2,1,4.2,5.2,3.5,0.9,0.4,2.2,11.7
Tyler Johnson,21,25.2,10.8,3.9,9,43.6,1.5,4,36.9,1.5,2.1,71.1,0.5,2.6,3,2.3,0.9,0.5,1.4,10.4
Malik Monk,28,19.3,10.6,3.6,9.5,38.3,1.7,5.1,33.3,1.6,1.8,88.2,0.3,1.5,1.8,1.9,0.6,0.3,1.3,7.8
Tyreke Evans,28,21.9,10.6,3.7,10,36.7,1.3,3.7,34.6,2,2.5,78.6,0.6,2.5,3,2.4,1.3,0.3,2.1,8.7
Wendell Carter Jr.,30,25.1,10.6,4.1,8.5,47.7,0.2,0.8,20.8,2.3,2.9,78.4,1.9,4.9,6.8,2,0.6,1.5,1.6,14.7
Jeff Green,27,24.8,10.5,3.8,7.4,50.7,1.1,3,37,1.9,2,90.9,1.3,3.4,4.7,1.2,0.6,0.5,1.2,12.5
Taj Gibson,28,25.6,10.4,4.2,8,52.2,0.4,0.9,41.7,1.7,2.5,68.6,2.8,4,6.9,1.4,1,0.5,1,14.6
Shai Gilgeous-Alexander,29,27.1,10.4,3.9,8.2,47.9,0.5,1.4,36.6,2,2.6,79.7,0.9,2.3,3.2,2.9,1,0.7,1.9,11.6
Reggie Bullock,19,28.4,10.4,3.5,8.9,39.4,1.9,5.5,35.6,1.4,1.6,86.7,0.4,1.9,2.3,2.4,0.6,0.1,1.1,9.1
D.J. Augustin,29,27.6,10.3,3.4,7.5,45,1.6,3.7,43.9,1.9,2.2,87.5,0.5,1.8,2.3,5,0.4,0,1.3,12.3
Garrett Temple,29,31.8,10.3,3.6,8.1,44.3,1.5,4.3,35.5,1.6,2,81,0.4,2.8,3.1,1.4,1.1,0.3,1.1,10.2
Kevin Knox,23,22.3,10.3,3.7,10,36.5,1.5,4.1,36.2,1.5,2.3,64.8,0.7,3.2,3.9,0.9,0.5,0.4,1,7.8
Juancho Hernangomez,27,27.4,10.1,3.4,7,49.5,1.7,3.9,43.8,1.5,1.9,80.4,1.6,4,5.6,1,0.6,0.5,0.9,13
Kelly Olynyk,27,20.4,10,3,6.7,45.3,1.6,4.3,35.9,2.4,3,79,1,3.3,4.3,2.2,0.7,0.4,1.4,12
Trey Lyles,28,21,10,3.8,9,41.5,0.8,3.4,24.2,1.6,2.4,67.6,0.8,4,4.8,1.5,0.6,0.5,1.6,9.6
Tony Parker,26,19.3,9.9,4,8.6,46.2,0.3,1,25.9,1.7,2.5,69.2,0.2,1.4,1.6,4.2,0.6,0.1,1.2,9.8
Trevor Ariza,26,34,9.9,3.3,8.7,37.9,1.9,5.3,36,1.4,1.7,83.7,0.6,5,5.6,3.3,1.5,0.3,1.5,13.4
Danny Green,31,29.6,9.9,3.6,7.9,45.5,2.4,5.5,42.7,0.3,0.4,90.9,0.9,3.3,4.2,1.4,0.9,0.8,1,11.8
Rondae Hollis-Jefferson,26,24.1,9.8,3.7,9.1,40.9,0.2,0.9,25,2.2,3.4,62.9,1.5,4.5,5.9,1.8,0.9,0.4,1.2,11
Cody Zeller,28,24.7,9.8,3.9,6.7,58.8,0.1,0.4,33.3,1.8,2.1,86.4,2.1,3.8,5.9,2,0.8,0.8,1.2,15.1
Monte Morris,28,24.4,9.8,4,8.4,47.7,1.1,2.5,43.5,0.8,1,77.8,0.4,2.3,2.7,4.1,0.9,0.1,0.7,12.3
Marco Belinelli,29,22.1,9.8,3.4,8.9,38.4,1.6,4.7,34.8,1.3,1.6,86.7,0.2,1.8,2,1.9,0.6,0.2,0.7,8.1
Fred VanVleet,27,24.9,9.7,3.6,8.4,42.5,1.5,4,36.7,1.1,1.4,76.9,0.4,2,2.4,4.5,0.9,0.1,1.4,11.1
Alex Len,26,19.5,9.5,3.7,7.3,49.7,0.6,1.9,32,1.6,2.5,64.6,1.7,3.3,5,0.9,0.3,0.8,1.5,10.4
Patty Mills,30,24.9,9.5,3.3,7.6,43.2,1.7,4.3,39.5,1.2,1.5,84.1,0.3,2.3,2.6,2.8,0.5,0.2,1.1,9.9
Al-Farouq Aminu,29,30.1,9.5,3.2,7.3,44.5,1.4,4,36.5,1.6,1.9,83.3,1.4,6.8,8.1,0.7,1,0.4,0.9,14.4
Allen Crabbe,28,26.1,9.5,3,8.9,34.3,2.3,6,38.7,1.1,1.4,78.9,0.5,3,3.5,1.1,0.6,0.3,1.1,7.6
Langston Galloway,26,25.4,9.5,3.3,8.1,40.3,1.8,5.3,34.1,1.1,1.5,76.3,0.7,2,2.7,1.3,0.5,0.1,0.5,8.4
Antonio Blakeney,24,17.1,9.5,3.7,8.7,42.6,1.1,2.4,44.8,1,1.5,65.7,0.2,1.7,1.9,0.5,0.3,0.2,0.9,6
Alec Burks,26,20.2,9.4,3.1,8.1,38.4,1,3,34.2,2.2,2.5,84.8,0.4,2.6,3,1.7,0.6,0.2,1.1,8.5
Stanley Johnson,23,22.6,9.3,3.5,8.8,39.9,1.3,4.5,28.2,1,1.3,79.3,0.9,3.4,4.3,1.3,1,0.2,1.4,9.2
Darren Collison,29,28.2,9.2,3.4,7.8,43.6,0.8,2.3,35.8,1.6,2.1,76.7,0.6,2.2,2.7,5.8,1.6,0.1,1.6,13
Ish Smith,22,24.4,9.2,3.9,9.3,41.5,1.1,3.5,32.9,0.4,0.5,66.7,0,1.9,1.9,3,0.5,0.3,1.1,8.1
Iman Shumpert,24,25.8,9.2,3.3,7.7,42.4,1.8,4.8,37.9,0.9,1,87.5,0.4,2.8,3.1,1.9,1.3,0.3,0.9,10.4
Josh Hart,29,25.3,9.2,3.3,7.2,45.2,1.8,4.5,39.2,0.9,1.4,65,0.5,2.8,3.3,1.2,1.1,0.7,0.9,10.1
Nicolas Batum,29,30.2,9.1,3.5,7.7,45.1,1.3,3.5,38.2,0.8,1,85.7,1.1,4.2,5.2,3.5,0.9,0.4,1.7,13.2
Dwight Powell,24,16.6,8.9,3.1,5.3,58.3,0.3,1.6,17.9,2.4,3.1,77.3,1.3,3,4.3,1,0.6,0.6,1.1,11.4
Marvin Williams,28,25.6,8.9,3.2,7.6,42.5,1.7,4.7,36.6,0.7,1.1,66.7,0.8,4.5,5.3,1,0.8,0.7,0.5,11.5
Josh Jackson,30,21.3,8.8,3.4,9,37.5,0.7,2.4,28.2,1.4,2.2,65.2,0.6,3,3.6,2.2,1,0.6,2.5,7.4
Dorian Finney-Smith,27,26.6,8.7,3.2,6.7,47.3,1.4,3.5,39.4,1,1.6,64.3,1.8,2.7,4.5,0.8,1.2,0.6,0.9,10.8
Quinn Cook,27,17.6,8.7,3.4,7.3,47.4,1.4,3.1,44,0.5,0.6,86.7,0.3,2.2,2.5,1.9,0.4,0.1,0.9,8.8
Shelvin Mack,29,24.9,8.7,3.2,7.5,43.3,1.1,2.7,40.5,1.1,1.7,68.8,0.4,1.7,2.1,3.2,1,0.1,1.3,9
Kentavious Caldwell-Pope,29,21.6,8.7,2.7,7,38.6,1.4,4.1,34.5,1.9,2.1,90,0.4,1.8,2.3,0.7,0.8,0.2,0.5,7.6
Lonzo Ball,29,28.7,8.5,3.4,8.6,39.2,1.3,4.1,30.8,0.5,0.9,56,1.1,4.1,5.2,5,1.5,0.3,2,12.9
Terry Rozier,29,23.2,8.5,3.1,8.1,38.6,1.4,3.8,36,0.9,1.2,71.4,0.5,3.7,4.2,2.6,0.9,0.2,0.9,10.2
Noah Vonleh,30,26.1,8.4,2.9,6,49.2,0.8,2,42.4,1.7,2.4,71.8,1.7,6.4,8.1,2.2,0.7,0.9,1.3,15.3
DeAndre' Bembry,28,22.6,8.3,3.1,7.6,41,0.8,2.5,33.3,1.3,2.1,60.3,0.5,3.8,4.3,2.6,1.3,0.7,1.6,10.3
Mike Muscala,23,23.7,8.2,2.3,6.2,38,1.6,4.7,33.3,1.9,2.3,83,1.2,3.5,4.7,1.5,0.3,0.6,1,10
Bam Adebayo,28,20.8,8.1,3,5.4,55.3,0,0.1,0,2.1,3,70.6,2.2,5,7.1,1.7,0.7,1,1.3,14.1
Larry Nance Jr.,27,24.5,8.1,3.1,6,52.5,0.4,1,44.4,1.4,2,69.8,2,5,6.9,2.9,1.3,0.7,1.2,15.2
Evan Turner,28,25.7,8.1,3.5,7.5,46.2,0.1,1,13.8,1,1.6,63.6,0.6,4.5,5.1,4.3,0.8,0.3,1.9,11.9
James Ennis III,23,25.2,8,2.9,6,48.9,1.3,3.5,36.3,1,1.3,71,1,1.8,2.7,0.6,0.9,0.4,0.6,8.7
Boban Marjanovic,22,11.3,8,2.8,4.5,62.6,0,0,0,2.4,3,77.6,1.9,3,4.9,0.5,0.4,0.7,1,11.2
Jonathan Isaac,23,23.9,8,2.8,6.7,42.2,0.6,2.3,25.9,1.7,2.1,81.6,1,4.1,5.1,0.9,0.8,1.3,1.2,10.7
Michael Kidd-Gilchrist,22,19.5,8,3,6.4,47.5,0.3,0.7,37.5,1.6,2,77.8,1.8,3.5,5.3,1.1,0.4,1.1,0.7,11.4
Malik Beasley,28,19.3,7.9,3.1,6.8,45.5,1.4,3.6,38.6,0.3,0.4,90,0.3,2,2.3,0.9,0.5,0.1,0.6,7.4
Shabazz Napier,22,15.5,7.9,2.5,6.6,37.7,1,2.8,37.1,1.9,2.2,83.7,0.4,1.3,1.7,1.5,0.7,0.3,0.9,6.7
Landry Shamet,30,21.1,7.9,2.6,6.1,42.9,1.8,4.5,39.6,0.9,1.1,78.8,0.3,1.2,1.5,1,0.5,0.1,0.5,6.7
Miles Bridges,28,20.3,7.8,3,6.3,48,1,2.7,36,0.9,1.1,75,0.6,3.2,3.8,1,0.6,0.8,0.6,9.9
Dewayne Dedmon,22,22.9,7.8,3,7,43.2,0.6,2.4,24.5,1.1,1.3,89.3,1.3,5.6,7,1,1.2,1.1,1.2,12.7
Avery Bradley,23,29.7,7.7,3.2,8.5,37.9,0.9,3.2,28.8,0.4,0.5,81.8,0.5,1.9,2.4,1.8,0.7,0.5,1.6,6.2
PJ Tucker,28,34.9,7.7,2.7,6.5,41.5,1.9,4.7,40.2,0.4,0.6,64.7,1.4,4.7,6.1,1,1.1,0.4,0.9,11.3
Zach Collins,29,19.1,7.7,2.9,5.5,51.9,0.6,1.8,33.3,1.3,1.6,86.7,1.4,2.8,4.2,0.9,0.4,0.9,1.2,9.9
OG Anunoby,25,20.2,7.6,3.2,7.1,44.4,1.1,3.6,30.3,0.2,0.8,30,0.6,2,2.6,0.5,0.6,0.2,0.7,6.4
Mikal Bridges,30,24,7.6,2.7,6.7,41,1.2,3.6,33.3,0.9,1.1,84.8,0.5,1.9,2.4,1.2,1.3,0.4,0.8,8
Cory Joseph,29,26,7.6,3.2,6.9,46.5,0.9,2.2,40,0.2,0.5,50,0.4,3.1,3.6,3.9,1.3,0.2,1.3,11.3
Gerald Green,24,17.3,7.5,2.7,6.4,42.2,1.7,4.9,35,0.4,0.5,83.3,0.6,1.9,2.5,0.5,0.3,0.2,0.6,6.6
Ersan Ilyasova,24,19.9,7.5,2.7,6.2,43,1,2.7,35.9,1.2,1.3,87.5,1.6,3.9,5.5,1.2,0.5,0.3,0.9,10.3
Lance Stephenson,29,15,7.4,3,6.7,44.3,0.9,2.5,37,0.6,0.7,85,0.5,2.7,3.2,1.8,0.7,0.1,1.2,8.2
Jonas Jerebko,30,20.5,7.3,2.6,5.4,47.5,1.1,3,37.1,1.1,1.4,80.5,1.3,4.1,5.4,1.8,0.4,0.2,0.9,11.2
Willy Hernangomez,21,12.7,7.3,2.6,4.7,55.1,0.6,1,57.1,1.6,2.1,75.6,1.7,2.8,4.5,0.8,0.4,0.4,0.9,9.9
Jonathon Simmons,27,21.7,7.3,2.6,7.2,35.4,0.5,2.1,24.1,1.7,2,83.3,0.5,1.9,2.4,2.1,0.5,0.4,1.3,6.5
Mario Hezonja,28,18.3,7.3,2.9,7.6,37.6,0.8,2.8,29.1,0.8,1.2,63.6,0.3,3,3.3,1.1,0.8,0.1,1.2,6.1
Austin Rivers,29,23.6,7.2,2.6,6.7,39.2,1.1,3.7,31.1,0.9,1.6,54.3,0.4,2.1,2.4,2,0.6,0.3,1.2,6.6
Doug McDermott,29,17.3,7.2,2.5,5,50,1.2,3,40.9,1,1.1,87.5,0.2,1.2,1.4,0.8,0.3,0.1,0.4,6.8
Vince Carter,25,17.4,7.2,2.6,6.3,40.5,1.4,3.9,36.7,0.6,0.8,76.2,0.3,2,2.4,1,0.6,0.4,0.5,7
Kyle Korver,24,16.1,7.2,2.4,5.5,43.9,1.7,3.9,43,0.7,0.8,80,0.1,1.7,1.8,0.9,0.2,0.2,1,6
Richaun Holmes,29,15,7.1,3,4.5,66.2,0,0,0,1.2,1.9,63.6,1.7,2.8,4.5,0.6,0.6,1.1,1,10.7
Ryan Arcidiacono,29,28.5,7.1,2.4,5.5,44.7,1.6,3.8,40.5,0.7,0.9,80,0.3,2.5,2.8,3.8,1,0,1,10.6
Kevin Huerter,27,22.4,7.1,2.6,5.9,43.1,1.4,3.4,42.4,0.6,0.7,75,0.8,2.4,3.1,2.2,0.8,0.4,1.3,8.8
Marcus Smart,29,25.2,7.1,2.3,5.8,39.1,1.1,3.5,32.4,1.4,1.9,75.9,0.8,2,2.8,4.1,1.8,0.4,1.4,10.9
MarShon Brooks,26,13.9,7.1,2.8,6.2,45.7,0.6,2,29.4,0.8,1.2,67.7,0.5,1.2,1.7,0.9,0.3,0.2,0.7,5.8
Davis Bertans,26,17.3,7,2.4,5,48.1,1.6,3.6,44.7,0.7,0.7,89.5,0.5,2.2,2.6,0.9,0.4,0.4,0.5,8.3
Mason Plumlee,28,18.1,7,2.9,5,59,0,0.1,33.3,1.1,2.4,45.6,2.2,3.2,5.4,2.1,1.1,1,1.5,11.8
Nik Stauskas,29,16.8,6.9,2.4,5.7,42.4,1.1,3.2,35.9,1,1.1,90.3,0.3,1.4,1.8,1.6,0.3,0.1,1.1,6.3
Jamal Crawford,26,16.8,6.9,2.3,6.3,36,0.9,2.9,30.3,1.5,1.8,82.6,0.1,1,1.1,2.9,0.4,0.2,1.4,5.7
Mo Bamba,28,16.9,6.8,2.8,5.7,48.8,0.6,1.9,34.6,0.5,0.9,62.5,1.4,3.3,4.6,1.1,0.3,1.4,0.8,10.2
Dante Exum,29,15.8,6.7,2.2,5.4,40.8,0.4,1.5,29.5,1.9,2.5,75,0.3,1.3,1.6,2.1,0.3,0.1,1.3,5.7
